stage,edge_size,edge_ent,node_feat_size,node_feat_ent,lr,epochs,graph_idx,node_type,node_idx,target_value,seed_runs,feature_mask_var_mean,edge_mask_var_mean,mask_var_mean
A,1e-05,1e-05,1e-12,1e-12,0.01,150,640,H,0,0.13790667057037354,5,0.0052135668410088765,0.000439766129978807,0.0028266664854938416
A,1e-06,1e-05,1e-12,1e-12,0.01,150,640,H,0,0.13790667057037354,5,0.0052132443823833695,0.0004413516326231104,0.00282729800750324
A,0.0001,0.001,1e-12,1e-12,0.01,150,640,H,0,0.13790667057037354,5,0.005191489678754109,0.0004633176901324987,0.0028274036844433037
A,1e-06,0.0001,1e-12,1e-12,0.01,150,640,H,0,0.13790667057037354,5,0.005213649959842704,0.00044421405820827437,0.0028289320090254893
A,0.001,0.001,1e-12,1e-12,0.01,150,640,H,0,0.13790667057037354,5,0.005193836469528372,0.000466597801523676,0.002830217135526024
A,0.001,1e-06,1e-12,1e-12,0.01,150,170,H,3,-0.026961499825119972,5,0.005573157593916707,0.0006885921857157484,0.0031308748898162277
A,0.001,1e-05,1e-12,1e-12,0.01,150,170,H,3,-0.026961499825119972,5,0.005573114078626142,0.0006985986401129196,0.003135856359369531
A,0.001,0.0001,1e-12,1e-12,0.01,150,170,H,3,-0.026961499825119972,5,0.005570081576731515,0.0007850666711259181,0.0031775741239287165
A,0.0001,0.01,1e-12,1e-12,0.01,150,640,H,0,0.13790667057037354,5,0.005207506168422097,0.001546623373413354,0.0033770647709177254
A,0.001,0.01,1e-12,1e-12,0.01,150,640,H,0,0.13790667057037354,5,0.0051943941927873735,0.0016739662976551985,0.003434180245221286
A,1e-05,0.01,1e-12,1e-12,0.01,150,640,H,0,0.13790667057037354,5,0.005208693570399221,0.0016854263153763325,0.003447059942887777
A,1e-06,0.01,1e-12,1e-12,0.01,150,640,H,0,0.13790667057037354,5,0.0052082263422313394,0.0016954595002022187,0.003451842921216779
A,0.001,0.001,1e-12,1e-12,0.01,150,170,H,3,-0.026961499825119972,5,0.005591079078310606,0.001563481749828526,0.003577280414069566
A,0.0001,1e-06,1e-12,1e-12,0.01,150,650,H,12,-0.10497073829174042,5,0.0035262685726088747,0.0036500392611142725,0.003588153916861574
